PLACE OF USUAL RESIDENCE,Type of Place,Year,Total,January,February,March,April,May,June,July,August,September,October,November,December
ZAMBOANGA DEL NORTE,Province,2023,"15,333","1,474","1,261","1,329","1,307","1,316","1,239","1,156","1,193","1,285","1,209","1,297","1,267"
ZAMBOANGA DEL SUR,Province,2023,"15,279","1,456","1,211","1,365","1,344","1,271","1,215","1,208","1,215","1,319","1,289","1,188","1,198"
ZAMBOANGA SIBUGAY,Province,2023,"9,481",937,826,913,807,754,736,706,755,792,760,807,688
CITY OF ISABELA,City,2023,"1,275",156,111,139,104,103,87,103,85,115,122,94,56
CITY OF ZAMBOANGA,City,2023,"13,945","1,374","1,159","1,246","1,217","1,174","1,089","1,104","1,119","1,178","1,222","1,043","1,020"
REGION X (NORTHERN MINDANAO),Region,2023,"79,551","7,682","6,438","6,820","6,556","6,618","6,167","6,348","6,465","6,846","6,761","6,399","6,451"
BUKIDNON,Province,2023,"27,484","2,640","2,345","2,389","2,236","2,260","2,140","2,180","2,236","2,359","2,326","2,181","2,192"
CAMIGUIN,Province,2023,719,98,81,96,106,96,95,57,17,28,14,17,14
LANAO DEL NORTE,Province,2023,"9,202",925,763,803,785,771,716,749,696,754,797,709,734
MISAMIS OCCIDENTAL,Province,2023,"9,741",941,727,818,814,810,773,747,792,875,807,813,824
MISAMIS ORIENTAL,Province,2023,"14,922","1,436","1,194","1,236","1,219","1,234","1,141","1,198","1,246","1,285","1,259","1,232","1,242"
CITY OF CAGAYAN DE ORO,City,2023,"12,090","1,122",908,"1,038",968,976,904,944,"1,034","1,074","1,074","1,002","1,046"
CITY OF ILIGAN,City,2023,"5,393",520,420,440,428,471,398,473,444,471,484,445,399
